# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.303742431640625000e+03 3.342844726562500000e+03 1.000424861907958984e+00
1.000000000000000000e+03 1.424888793945312500e+03 1.432668579101562500e+03 6.549365520477294922e-01
2.000000000000000000e+03 7.136320800781250000e+02 7.253624267578125000e+02 4.660191833972930908e-01
3.000000000000000000e+03 3.563523864746093750e+02 3.513994445800781250e+02 3.243596851825714111e-01
4.000000000000000000e+03 1.635561523437500000e+02 1.590588531494140625e+02 2.182254046201705933e-01
5.000000000000000000e+03 6.817747497558593750e+01 6.618852996826171875e+01 1.407724618911743164e-01
6.000000000000000000e+03 3.011948585510253906e+01 2.501344490051269531e+01 8.653923124074935913e-02
7.000000000000000000e+03 9.217699050903320312e+00 8.548283576965332031e+00 5.059012770652770996e-02
8.000000000000000000e+03 2.996845006942749023e+00 2.688985824584960938e+00 2.837400138378143311e-02
9.000000000000000000e+03 8.965274691581726074e-01 7.911214828491210938e-01 1.539032906293869019e-02
1.000000000000000000e+04 1.909971684217453003e-01 2.255160510540008545e-01 8.217033930122852325e-03
1.100000000000000000e+04 7.709567993879318237e-02 8.456313610076904297e-02 5.031724926084280014e-03
1.200000000000000000e+04 5.037661641836166382e-02 5.832817777991294861e-02 4.178934730589389801e-03
1.300000000000000000e+04 1.323536317795515060e-02 1.416355464607477188e-02 2.059266204014420509e-03
1.400000000000000000e+04 8.015654049813747406e-03 7.768900133669376373e-03 1.525127212516963482e-03
1.500000000000000000e+04 2.265355782583355904e-03 3.010983113199472427e-03 9.494684054516255856e-04
1.600000000000000000e+04 2.004310954362154007e-03 1.730113988742232323e-03 7.197201484814286232e-04
1.700000000000000000e+04 1.321014296263456345e-02 1.332812570035457611e-02 1.997610786929726601e-03
1.800000000000000000e+04 1.219933852553367615e-03 1.343414303846657276e-03 6.342075066640973091e-04
1.900000000000000000e+04 9.156711399555206299e-02 9.105198830366134644e-02 5.221208091825246811e-03
2.000000000000000000e+04 7.535906624980270863e-04 9.694035979919135571e-04 5.387393175624310970e-04
2.100000000000000000e+04 3.144918754696846008e-02 2.896705642342567444e-02 2.944954205304384232e-03
2.200000000000000000e+04 1.372961979359388351e-02 1.423073653131723404e-02 2.064144238829612732e-03
2.300000000000000000e+04 3.296666545793414116e-03 3.508294466882944107e-03 1.024883356876671314e-03
2.400000000000000000e+04 5.321140633895993233e-04 5.500049446709454060e-04 4.057977348566055298e-04
2.500000000000000000e+04 1.570140011608600616e-03 1.550819724798202515e-03 6.814076332375407219e-04
2.600000000000000000e+04 4.438016563653945923e-03 4.507762379944324493e-03 1.161734573543071747e-03
2.700000000000000000e+04 2.071114070713520050e-02 2.103495039045810699e-02 2.509556943550705910e-03
2.800000000000000000e+04 6.293402519077062607e-03 6.318060681223869324e-03 1.375366002321243286e-03
2.900000000000000000e+04 4.404460196383297443e-04 4.543418181128799915e-04 3.688227443490177393e-04
3.000000000000000000e+04 4.316646081861108541e-04 4.556615022011101246e-04 3.693580511026084423e-04
3.100000000000000000e+04 7.222041604109108448e-04 9.220635402016341686e-04 5.254201823845505714e-04
3.200000000000000000e+04 5.447018891572952271e-02 5.237177759408950806e-02 3.959815949201583862e-03
3.300000000000000000e+04 6.396430544555187225e-03 6.266199517995119095e-03 1.369709381833672523e-03
3.400000000000000000e+04 7.251095492392778397e-03 7.106882985681295395e-03 1.458699814975261688e-03
3.500000000000000000e+04 1.862398348748683929e-03 1.864288467913866043e-03 7.471072021871805191e-04
3.600000000000000000e+04 1.679577748291194439e-03 1.676345127634704113e-03 7.084481767378747463e-04
3.700000000000000000e+04 4.977820441126823425e-03 5.153231788426637650e-03 1.242127385921776295e-03
3.800000000000000000e+04 4.795852000825107098e-04 5.908776656724512577e-04 4.206056473776698112e-04
3.900000000000000000e+04 4.289071075618267059e-03 4.136203788220882416e-03 1.112826168537139893e-03
4.000000000000000000e+04 8.357785409316420555e-04 7.877419702708721161e-04 4.856444138567894697e-04
4.100000000000000000e+04 5.176975973881781101e-04 4.943452659063041210e-04 3.847171901725232601e-04
4.200000000000000000e+04 2.986880717799067497e-03 3.027607919648289680e-03 9.520860039629042149e-04
4.300000000000000000e+04 3.754041972570121288e-04 4.097327473573386669e-04 3.502488543745130301e-04
4.400000000000000000e+04 8.318928303197026253e-04 8.954360382631421089e-04 5.177780403755605221e-04
4.500000000000000000e+04 7.411215454339981079e-03 7.573152426630258560e-03 1.505790860392153263e-03
4.600000000000000000e+04 4.487290570978075266e-04 5.252353730611503124e-04 3.965549112763255835e-04
4.700000000000000000e+04 9.332731366157531738e-03 9.687326848506927490e-03 1.703053829260170460e-03
4.800000000000000000e+04 2.814151113852858543e-03 2.858025021851062775e-03 9.250374860130250454e-04
4.900000000000000000e+04 1.164289540611207485e-03 1.241165446117520332e-03 6.095947464928030968e-04
5.000000000000000000e+04 1.585549791343510151e-03 1.618278678506612778e-03 6.960701430216431618e-04
5.100000000000000000e+04 1.299809850752353668e-02 1.266248524188995361e-02 1.947089214809238911e-03
5.200000000000000000e+04 3.955145948566496372e-04 5.093767540529370308e-04 3.905223566107451916e-04
5.300000000000000000e+04 2.588012488558888435e-03 2.656257711350917816e-03 8.917875238694250584e-04
5.400000000000000000e+04 3.602878132369369268e-04 4.026566748507320881e-04 3.472112584859132767e-04
5.500000000000000000e+04 1.160345692187547684e-02 1.204306632280349731e-02 1.898868358694016933e-03
5.600000000000000000e+04 1.835321425460278988e-03 1.959175802767276764e-03 7.658841786906123161e-04
5.700000000000000000e+04 2.333643846213817596e-02 2.343240939080715179e-02 2.648712834343314171e-03
5.800000000000000000e+04 4.583455156534910202e-03 4.761569201946258545e-03 1.193991862237453461e-03
5.900000000000000000e+04 2.098857425153255463e-03 2.054660348221659660e-03 7.843255298212170601e-04
6.000000000000000000e+04 2.933544456027448177e-04 3.960209141951054335e-04 3.443383320700377226e-04
6.100000000000000000e+04 4.108937382698059082e-01 3.796734213829040527e-01 1.066182274371385574e-02
6.200000000000000000e+04 2.582590794190764427e-03 2.625206019729375839e-03 8.865598938427865505e-04
6.300000000000000000e+04 4.100034013390541077e-03 4.021168686449527740e-03 1.097242231480777264e-03
6.400000000000000000e+04 1.714547048322856426e-03 1.816580304875969887e-03 7.374857668764889240e-04
6.500000000000000000e+04 1.893807575106620789e-02 1.757513172924518585e-02 2.293906407430768013e-03
6.600000000000000000e+04 6.749317981302738190e-03 6.729098968207836151e-03 1.419399864971637726e-03
6.700000000000000000e+04 4.474157933145761490e-03 4.093973431736230850e-03 1.107130548916757107e-03
6.800000000000000000e+04 5.678365123458206654e-04 5.761042120866477489e-04 4.153142799623310566e-04
6.900000000000000000e+04 5.207626149058341980e-03 4.830825142562389374e-03 1.202643616124987602e-03
7.000000000000000000e+04 3.820988116785883904e-03 4.022236913442611694e-03 1.097387867048382759e-03
7.100000000000000000e+04 6.476732343435287476e-02 6.316696852445602417e-02 4.348819144070148468e-03
7.200000000000000000e+04 2.470595017075538635e-02 2.257926017045974731e-02 2.600047271698713303e-03
7.300000000000000000e+04 2.452014200389385223e-02 2.295951545238494873e-02 2.621849067509174347e-03
7.400000000000000000e+04 2.086689230054616928e-03 2.028701361268758774e-03 7.793550612404942513e-04
7.500000000000000000e+04 5.775112658739089966e-03 5.674369633197784424e-03 1.303422381170094013e-03
7.600000000000000000e+04 1.524548977613449097e-03 1.522313337773084641e-03 6.751159671694040298e-04
7.700000000000000000e+04 9.022747981362044811e-04 9.918936993926763535e-04 5.449528107419610023e-04
